项目名,项目标记,电压条件文件夹,电压条件,working数量,working百分比,short数量,short百分比,open数量,open百分比,unworking数量,unworking百分比,其他数量,其他百分比,总器件数
25BW088-470TC3-D310,正常,3_np2v,-2v~2v,765,74.7%,0,0.0%,0,0.0%,259,25.3%,0,0.0%,1024
26BW108-547TC3-D37_20260414,正常,1_np1v,-1v~1v,74,7.2%,0,0.0%,0,0.0%,950,92.8%,0,0.0%,1024
26BW108-547TC3-D37_20260414,正常,2_np1.5v,-1.5v~1.5v,99,9.7%,0,0.0%,0,0.0%,925,90.3%,0,0.0%,1024
26BW108-547TC3-D37_20260414,正常,3_np2v,-2v~2v,107,10.4%,0,0.0%,0,0.0%,917,89.6%,0,0.0%,1024
26BW108-547TC3-D37_20260414,正常,4_n2.5p2v,-2.5v~2v,116,11.3%,0,0.0%,0,0.0%,908,88.7%,0,0.0%,1024
26BW108-547TC3-D37_20260414,正常,5_n3p2v,-3v~2v,266,26.0%,0,0.0%,0,0.0%,758,74.0%,0,0.0%,1024
26BW108-547TC3-D37_20260414,正常,6_n3.3p2v,-3.3v~2v,395,45.7%,0,0.0%,0,0.0%,469,54.3%,0,0.0%,864
26BW108-548TC3-D39_20260421,正常,1_np1v,-1v~1v,52,5.1%,0,0.0%,0,0.0%,972,94.9%,0,0.0%,1024
26BW108-548TC3-D39_20260421,正常,2_np1.5v,-1.5v~1.5v,56,5.5%,0,0.0%,0,0.0%,968,94.5%,0,0.0%,1024
26BW108-548TC3-D39_20260421,正常,3_np2v,-2v~2v,67,6.5%,0,0.0%,0,0.0%,957,93.5%,0,0.0%,1024
26BW108-548TC3-D39_20260421,正常,4_np2.5v,-2.5v~2.5v,83,8.1%,0,0.0%,0,0.0%,941,91.9%,0,0.0%,1024
26BW108-548TC3-D39_20260421,正常,5_np3v,-3v~3v,75,7.3%,0,0.0%,0,0.0%,949,92.7%,0,0.0%,1024
26BW108-549-D310TC3_20260417,正常,1_np1v,-1v~1v,133,13.0%,0,0.0%,0,0.0%,891,87.0%,0,0.0%,1024
26BW108-549-D310TC3_20260417,正常,2_np1.5v,-1.5v~1.5v,145,14.2%,0,0.0%,0,0.0%,879,85.8%,0,0.0%,1024
26BW108-549-D310TC3_20260417,正常,3_n2p1.5v,-2v~1.5v,157,15.3%,0,0.0%,0,0.0%,867,84.7%,0,0.0%,1024
26BW108-549-D310TC3_20260417,正常,4_n2.5p2v,-2.5v~2v,254,24.8%,0,0.0%,0,0.0%,770,75.2%,0,0.0%,1024
26BW108-549-D310TC3_20260417,正常,5_n3p2v,-3v~2v,446,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,446
26BW108-549-D310TC3_20260417,正常,6_n3.3p2v,-3.3v~2v,644,62.9%,0,0.0%,0,0.0%,380,37.1%,0,0.0%,1024
26BW110-555TC3-D34_20260422,正常,1_np1v,-1v~1v,4,0.4%,0,0.0%,0,0.0%,1020,99.6%,0,0.0%,1024
26BW110-555TC3-D34_20260422,正常,2_np1.5v,-1.5v~1.5v,7,0.7%,0,0.0%,0,0.0%,1017,99.3%,0,0.0%,1024
26BW110-555TC3-D34_20260422,正常,3_np2v,-2v~2v,12,1.2%,0,0.0%,0,0.0%,1012,98.8%,0,0.0%,1024
26BW110-555TC3-D34_20260422,正常,4_np2.5v,-2.5v~2.5v,21,2.1%,0,0.0%,0,0.0%,1003,97.9%,0,0.0%,1024
26BW110-555TC3-D34_20260422,正常,5_n3p2.5v,-3v~2.5v,20,2.0%,0,0.0%,0,0.0%,1004,98.0%,0,0.0%,1024
26BW110-555TC3-D34_20260422,正常,6_np3v(supplementary),-3v~3v(supplementary),30,2.9%,0,0.0%,6,0.6%,988,96.5%,0,0.0%,1024
26BW110-555TC3-D34_20260422,正常,7_np3.3v(supplementary),-3.3v~3.3v(supplementary),41,4.0%,0,0.0%,1,0.1%,982,95.9%,0,0.0%,1024
26BW110-556TC3-D37_20260427,正常,1_np1v,-1v~1v,2,0.2%,0,0.0%,0,0.0%,1022,99.8%,0,0.0%,1024
26BW110-556TC3-D37_20260427,正常,2_np1.5v,-1.5v~1.5v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,1024
26BW110-556TC3-D37_20260427,正常,3_np2v,-2v~2v,2,0.2%,0,0.0%,0,0.0%,1022,99.8%,0,0.0%,1024
26BW110-556TC3-D37_20260427,正常,4_np2.5v,-2.5v~2.5v,2,0.2%,0,0.0%,0,0.0%,1022,99.8%,0,0.0%,1024
26BW110-556TC3-D37_20260427,正常,5_np3v,-3v~3v,9,0.9%,0,0.0%,0,0.0%,1015,99.1%,0,0.0%,1024
26BW110-556TC3-D37_20260427,正常,6_np3.3v,-3.3v~3.3v,14,1.4%,0,0.0%,0,0.0%,1010,98.6%,0,0.0%,1024
26BW110-557TC3-D39_20260509,正常,1_np1v,-1v~1v,6,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,6
26BW110-557TC3-D39_20260509,正常,2_np1.5v,-1.5v~1.5v,7,0.7%,0,0.0%,0,0.0%,1017,99.3%,0,0.0%,1024
26BW110-557TC3-D39_20260509,正常,3_np2v,-2v~2v,12,1.2%,0,0.0%,3,0.3%,1009,98.5%,0,0.0%,1024
26BW110-557TC3-D39_20260509,正常,4_np2.5v,-2.5v~2.5v,12,1.2%,0,0.0%,8,0.8%,1004,98.0%,0,0.0%,1024
26BW110-557TC3-D39_20260509,正常,5_np3v,-3v~3v,14,1.4%,0,0.0%,5,0.5%,1005,98.1%,0,0.0%,1024
26BW110-557TC3-D39_20260509,正常,6_np3.3v,-3.3v~3.3v,18,1.8%,0,0.0%,1,0.1%,1005,98.1%,0,0.0%,1024
26BW113-567TC3-D34_20260528,正常,1_np1v,-1v~1v,56,5.5%,0,0.0%,0,0.0%,968,94.5%,0,0.0%,1024
26BW113-567TC3-D34_20260528,正常,2_np1.5v,-1.5v~1.5v,86,8.4%,0,0.0%,0,0.0%,938,91.6%,0,0.0%,1024
26BW113-567TC3-D34_20260528,正常,3_np2v,-2v~2v,88,8.6%,0,0.0%,0,0.0%,936,91.4%,0,0.0%,1024
26BW113-567TC3-D34_20260528,正常,4_n2.5p2v,-2.5v~2v,100,9.8%,0,0.0%,0,0.0%,924,90.2%,0,0.0%,1024
26BW113-567TC3-D34_20260528,正常,5_n3p2.5v,-3v~2.5v,314,30.7%,0,0.0%,0,0.0%,710,69.3%,0,0.0%,1024
26BW113-567TC3-D34_20260528,正常,6_n3.3p2.5v,-3.3v~2.5v,296,28.9%,0,0.0%,0,0.0%,728,71.1%,0,0.0%,1024
26BW113-567TC3-D34_20260528,正常,7_np3.3v,-3.3v~3.3v,115,11.2%,0,0.0%,0,0.0%,909,88.8%,0,0.0%,1024
26BW113-569TC3-D38_20260603,正常,1_np1v,-1v~1v,19,1.9%,0,0.0%,0,0.0%,1005,98.1%,0,0.0%,1024
26BW113-569TC3-D38_20260603,正常,2_np1.5v,-1.5v~1.5v,33,3.2%,0,0.0%,0,0.0%,991,96.8%,0,0.0%,1024
26BW113-569TC3-D38_20260603,正常,3_np2v,-2v~2v,161,15.7%,0,0.0%,0,0.0%,863,84.3%,0,0.0%,1024
26BW113-569TC3-D38_20260603,正常,4_n2.5p2v,-2.5v~2v,91,8.9%,0,0.0%,0,0.0%,933,91.1%,0,0.0%,1024
26BW113-569TC3-D38_20260603,正常,5_n3p2.5v,-3v~2.5v,49,4.8%,0,0.0%,0,0.0%,975,95.2%,0,0.0%,1024
26BW113-569TC3-D38_20260603,正常,6_n3.3p3v,-3.3v~3v,41,4.0%,0,0.0%,0,0.0%,983,96.0%,0,0.0%,1024
26BW113-570TC3-D37_20260605,正常,1_np1v,-1v~1v,1,0.1%,0,0.0%,0,0.0%,1023,99.9%,0,0.0%,1024
26BW113-570TC3-D37_20260605,正常,2_np1.5v,-1.5v~1.5v,3,0.3%,0,0.0%,0,0.0%,1021,99.7%,0,0.0%,1024
26BW113-570TC3-D37_20260605,正常,3_np2v,-2v~2v,3,0.3%,0,0.0%,0,0.0%,1021,99.7%,0,0.0%,1024
26BW113-570TC3-D37_20260605,正常,4_np2.5v,-2.5v~2.5v,1,0.1%,0,0.0%,0,0.0%,1023,99.9%,0,0.0%,1024
26BW113-570TC3-D37_20260605,正常,5_np3v,-3v~3v,4,0.4%,0,0.0%,0,0.0%,1020,99.6%,0,0.0%,1024
26BW113-570TC3-D37_20260605,正常,6_np3.3v,-3.3v~3.3v,10,1.0%,0,0.0%,1,0.1%,1013,98.9%,0,0.0%,1024
